COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share,Continent
Colombia,APR2014,April 2014,2014,4,April,Wind,6.694,2,69.482,,0.0012054966613829,South America
Colombia,APR2014,April 2014,2014,4,April,Solar,0.56,3,8.947,,0.0001008482417649,South America
Chile,MAY2014,May 2014,2014,5,May,Hydro,1611.335,1,22814.0,7064.655,0.2766683487672789,South America
Chile,MAY2014,May 2014,2014,5,May,Wind,71.953,2,1441.001,172.834,0.0123544251808916,South America
Chile,MAY2014,May 2014,2014,5,May,Solar,30.074,3,479.999,1.43,0.005163745540702,South America
Colombia,MAY2014,May 2014,2014,5,May,Hydro,3632.958,1,47249.092,,0.6337568662148735,South America
Colombia,MAY2014,May 2014,2014,5,May,Wind,6.211,2,69.482,,0.0010834873114582,South America
Colombia,MAY2014,May 2014,2014,5,May,Solar,0.67,3,8.947,,0.0001168791657828,South America
Chile,JUN2014,June 2014,2014,6,June,Hydro,1640.516,1,22814.0,8390.345,0.2790418878526197,South America
Chile,JUN2014,June 2014,2014,6,June,Wind,94.3,2,1441.001,207.162,0.0160398618632808,South America
Chile,JUN2014,June 2014,2014,6,June,Solar,31.255,3,479.999,1.777,0.0053162871955126,South America
Colombia,JUN2014,June 2014,2014,6,June,Hydro,3513.389,1,47249.092,,0.6337168582307062,South America
Colombia,JUN2014,June 2014,2014,6,June,Wind,8.085,2,69.482,,0.0014583072921316,South America
Colombia,JUN2014,June 2014,2014,6,June,Solar,0.697,3,8.947,,0.0001257192557347,South America
Chile,JUL2014,July 2014,2014,7,July,Hydro,1542.815,1,22814.0,10117.806,0.2532783200922221,South America
Chile,JUL2014,July 2014,2014,7,July,Wind,132.386,2,1441.001,258.075,0.0217333275108998,South America
Chile,JUL2014,July 2014,2014,7,July,Solar,34.7,3,479.999,2.143,0.005696572633271,South America
Colombia,JUL2014,July 2014,2014,7,July,Hydro,4105.318,1,47249.092,,0.6938270903872591,South America
Colombia,JUL2014,July 2014,2014,7,July,Wind,8.713,2,69.482,,0.0014725571657406,South America
Colombia,JUL2014,July 2014,2014,7,July,Solar,0.75,3,8.947,,0.0001267551789631,South America
Chile,AUG2014,August 2014,2014,8,August,Hydro,2431.505,1,22814.0,11692.681,0.4205825389156967,South America
Chile,AUG2014,August 2014,2014,8,August,Wind,127.068,2,1441.001,319.356,0.0219792194772125,South America
Chile,AUG2014,August 2014,2014,8,August,Solar,41.646,3,479.999,2.934,0.0072035962976358,South America
Colombia,AUG2014,August 2014,2014,8,August,Hydro,4058.878,1,47249.092,,0.6973243176101073,South America
Colombia,AUG2014,August 2014,2014,8,August,Wind,5.438,2,69.482,,0.0009342605614565,South America
Colombia,AUG2014,August 2014,2014,8,August,Solar,0.75,3,8.947,,0.000128851677288,South America
Chile,SEP2014,September 2014,2014,9,September,Hydro,2251.932,1,22814.0,13599.652,0.4078582088470956,South America
Chile,SEP2014,September 2014,2014,9,September,Wind,152.858,2,1441.001,394.719,0.0276848457626381,South America
Chile,SEP2014,September 2014,2014,9,September,Solar,47.532,3,479.999,3.962,0.008608748569193,South America
Colombia,SEP2014,September 2014,2014,9,September,Hydro,4165.149,1,47249.092,,0.7107144258776114,South America
Colombia,SEP2014,September 2014,2014,9,September,Wind,4.5,2,69.482,,0.0007678512620915,South America
Colombia,SEP2014,September 2014,2014,9,September,Solar,0.745,3,8.947,,0.0001271220422795,South America
Chile,OCT2014,October 2014,2014,10,October,Hydro,2532.69,1,22814.0,15583.283,0.4313788610408523,South America
